-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Problem   |   Analyse(s):  %   metis       tree      count        sn     pattern     relind  |  Factorise(s):  % prepare        ------- assembly -------       dense |
         recipe  |       4.8e-05       68.0       12.6        3.2       12.0        1.5        2.2  |       3.0e-05        2.0        1.7        0.3        0.7       91.0  |  
          sc105  |       1.5e-04       87.3        4.7        1.3        4.3        0.7        1.6  |       2.7e-05        1.5        3.3        0.2        0.0       93.9  |  
          sc205  |       1.7e-04       79.8        7.6        2.0        6.5        1.1        3.0  |       3.6e-05        2.1        4.1        0.7        2.2       89.6  |  
          sc50a  |       7.8e-05       85.0        5.9        1.6        5.2        0.8        1.2  |       4.3e-06        7.7        9.6        0.9        0.0       73.1  |  
          sc50b  |       5.4e-05       81.3        7.4        2.1        6.3        1.1        1.6  |       3.3e-06        6.3       11.2        2.5        1.3       67.5  |  
        scagr25  |       3.0e-04       68.9       10.3        3.0       11.8        1.5        4.5  |       8.4e-05        3.3        6.1        1.3        2.5       85.0  |  
         scagr7  |       1.3e-04       77.6        8.0        2.2        8.4        1.1        2.6  |       2.7e-05        3.9        4.8        0.6        0.8       88.6  |  
         scfxm1  |       3.9e-04       70.0        9.9        2.6       10.5        1.4        5.6  |       9.4e-05        5.4        6.5        1.8        3.5       81.5  |  
         scfxm2  |       9.9e-04       77.1        7.6        1.9        8.2        1.0        4.1  |       1.7e-04        3.9        7.5        2.2        7.7       77.0  |  
         scfxm3  |       1.8e-03       81.5        6.1        1.6        6.7        0.9        3.3  |       2.4e-04        5.2        8.4        2.7        8.0       73.6  |  
       scorpion  |       1.1e-04       76.0        8.0        2.3        8.9        1.0        3.7  |       2.6e-05        3.1        4.7        0.6        0.8       89.4  |  
          scrs8  |       3.4e-04       80.1        6.7        1.7        7.0        0.9        3.5  |       5.9e-05        2.5        5.7        2.7        8.3       79.2  |  
          scsd1  |       2.3e-04       80.5        7.3        1.7        6.6        1.0        2.8  |       3.3e-05        1.9        6.3        0.8        1.3       88.1  |  
          scsd6  |       3.2e-04       76.8        8.2        2.0        8.0        1.2        3.8  |       5.9e-05        2.9        7.2        1.1        1.7       85.6  |  
          scsd8  |       8.4e-04       83.0        5.6        1.5        5.6        0.9        3.4  |       1.7e-04        4.1        5.4        1.3        2.8       85.2  |  
         sctap1  |       5.0e-04       79.5        5.7        2.1        7.7        1.0        4.1  |       9.6e-05        3.1        4.8        4.9        5.0       79.7  |  
         sctap2  |       2.3e-03       85.2        4.0        1.5        5.1        0.8        3.3  |       3.2e-04        5.4        4.3       13.9       14.2       58.5  |  
         sctap3  |       3.3e-03       85.6        3.9        1.4        4.9        0.7        3.5  |       4.1e-04        8.4        4.6       11.7       13.5       58.6  |  
           seba  |       2.6e-05       81.4        7.1        2.3        5.5        1.5        1.5  |       1.7e-06       14.3        7.1        0.0        2.3       54.7  |  
        share1b  |       1.7e-04       74.8        8.9        2.5        8.8        1.2        3.8  |       4.8e-05        2.2        4.1        0.9        1.5       90.6  |  
        share2b  |       1.3e-04       66.1       13.8        2.9       10.5        2.2        4.5  |       4.2e-05       12.0        6.7        0.8        1.3       78.1  |  
          shell  |       4.2e-04       76.9        6.6        2.2        9.5        1.0        3.7  |       8.2e-05        2.9        5.1        3.6        4.7       81.6  |  
        ship04l  |       5.8e-04       79.2        5.2        1.5        9.8        0.8        3.5  |       1.4e-04        5.5        3.8        6.2        7.9       65.5  |  
        ship04s  |       3.0e-04       74.4        7.1        2.0       11.6        0.8        3.9  |       6.7e-05        2.7        5.2        0.6        0.7       89.2  |  
        ship08l  |       9.1e-04       77.8        5.4        1.4       11.1        0.8        3.4  |       2.1e-04        5.1        6.1       12.8        5.6       58.2  |  
        ship08s  |       3.5e-04       75.3        7.5        2.1       10.3        1.1        3.7  |       6.9e-05        3.2        5.9        1.2        2.5       85.6  |  
        ship12l  |       1.1e-03       78.9        5.3        1.4       10.3        0.8        3.3  |       1.9e-04        5.1        5.4        7.6        4.8       68.4  |  
        ship12s  |       2.6e-04       68.9       10.5        2.9       12.3        1.6        3.8  |       5.0e-05        4.0        6.6        1.3        1.1       83.4  |  
         sierra  |       7.8e-04       76.1        6.2        2.1       11.3        0.9        3.4  |       1.6e-04        3.8        4.0        0.7        2.0       86.1  |  
          stair  |       8.2e-04       66.1       13.9        2.0       11.0        1.8        5.2  |       4.4e-04        5.3        3.9       13.0        6.1       71.2  |  
       standata  |       3.3e-04       75.7        7.0        2.4        9.1        1.2        4.5  |       7.8e-05        3.2        4.3        3.0        5.9       81.7  |  
       standgub  |       3.3e-04       75.3        7.2        2.5        9.1        1.1        4.8  |       7.7e-05        3.0        4.6        2.9        5.9       81.9  |  
       standmps  |       6.0e-04       80.2        5.3        1.8        7.7        0.9        4.0  |       1.3e-04        3.2        4.3        5.9        5.7       79.0  |  
       stocfor1  |       1.4e-04       80.6        6.5        1.9        7.1        0.8        2.9  |       3.0e-05        2.5        4.4        0.0        0.1       92.0  |  
       stocfor2  |       3.5e-03       82.7        6.2        1.2        5.3        1.0        3.6  |       6.3e-04        9.0        5.3       13.0        9.6       61.8  |  
       stocfor3  |       5.7e-02       89.0        4.3        0.6        3.3        0.7        2.2  |       7.2e-03        7.4        5.8       15.7       13.2       57.1  |  
           tuff  |       4.4e-04       76.7        9.5        1.8        7.9        1.1        2.8  |       7.0e-05        2.3        7.9        1.5        2.5       84.7  |  
          truss  |       3.9e-03       87.2        4.1        1.0        3.5        0.7        3.4  |       7.4e-04        5.4        3.7       19.0       18.1       53.0  |  
       vtp.base  |       7.7e-05       79.3        7.7        2.3        7.3        1.0        2.2  |       4.8e-06        6.0       11.2        2.6        0.0       73.3  |  
         wood1p  |       3.4e-04       36.9       29.8        3.0       21.0        3.3        5.9  |       9.9e-05        7.4       16.6        0.4        5.4       69.9  |  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
